"KEY","WELL","ITER","LAG","p_trend","AIC","BIC","logLik","beta_intercept","beta_interp","beta_event","p_interp","p_event","n_obs"
"17-D__ITER1","17-D",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17-D__ITER2","17-D",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17-D__ITER3","17-D",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D2-11__ITER1","199-D2-11",1,58,0.885103047635319,89.0538840928908,91.8562788562151,-41.5269420464454,3.2993445047479,-0.0247733982110979,9.72330720589468e-05,0.761845455633349,0.684316132492243,30
"199-D2-11__ITER2","199-D2-11",2,58,1.72143012067139e-08,18.297885084008,20.0786285998003,-6.14894254200399,-16.7392214815582,0.060918142181584,0.000758921364551911,0.077423225267071,3.06340718974797e-23,18
"199-D2-11__ITER3","199-D2-11",3,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D2-12__ITER1","199-D2-12",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D2-12__ITER2","199-D2-12",2,52,0.223404644078907,28.3276242987445,28.9327944847325,-11.1638121493722,30.6880889459262,-0.224898530655162,-0.000144440346419041,0.0673617108913125,0.252558931558657,10
"199-D3-2__ITER1","199-D3-2",1,7,7.16855927729299e-07,59.2012771972179,61.8656862175683,-26.6006385986089,94.87905967952,-0.746231766700769,-0.000327647393724401,1.48455664795946e-08,0.00574555606511799,28
"199-D3-2__ITER2","199-D3-2",2,7,0.00242929675534165,13.5944584610621,13.7533415444218,-3.79722923053106,-8.75936799672646,0.11053240583542,-0.000114288622296733,0.193826862730729,0.00342537517373076,8
"199-D4-1__ITER1","199-D4-1",1,4,0.00140757860450214,37.2399540333812,38.7851314778608,-15.6199770166906,153.860539814301,-1.34668872280697,0.000417816956618041,0.000400228588030243,0.105462462373625,16
"199-D4-1__ITER2","199-D4-1",2,4,0.00126379094688545,9.43880593195814,9.33062623006876,-1.71940296597907,-7.61940551927852,0.146430875138518,-0.000370615042957102,0.293353893655109,4.98917763479481e-10,7
"199-D4-102__ITER1","199-D4-102",1,22,8.34501180602132e-07,1.96474099427227,2.35919014894471,2.01762950286386,39.9568433248008,0.510590818122839,-0.00562223608863649,5.01099845767421e-06,9.29496525374991e-31,9
"199-D4-102__ITER2","199-D4-102",2,22,0.0931975558736839,15.8701702256708,16.0290533090304,-4.93508511283538,-60.0055654749313,0.435011972024519,0.000523986798242087,0.0743593000748361,0.00862015807305396,8
"199-D4-13__ITER1","199-D4-13",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199-D4-13__ITER2","199-D4-13",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
